listing_type,tom,size,price,price_log,building_age_num,total_floor_num,floor_num,rooms_living,rooms_extra,start_year,start_month,start_dow,district,sub_type_Komple Bina,sub_type_Kooperatif,sub_type_Köşk / Konak / Yalı,sub_type_Loft,sub_type_Müstakil Ev,sub_type_Prefabrik Ev,sub_type_Rezidans,sub_type_Villa,sub_type_Yalı Dairesi,sub_type_Yazlık,sub_type_Çiftlik Evi,heating_type_Güneş Enerjisi,heating_type_Jeotermal,heating_type_Kalorifer (Akaryakıt),heating_type_Kalorifer (Doğalgaz),heating_type_Kalorifer (Kömür),heating_type_Kat Kaloriferi,heating_type_Klima,heating_type_Kombi (Doğalgaz),heating_type_Kombi (Elektrikli),heating_type_Merkezi Sistem,heating_type_Merkezi Sistem (Isı Payı Ölçer),heating_type_Soba (Doğalgaz),heating_type_Soba (Kömür),heating_type_Unknown,heating_type_Yerden Isıtma,heating_type_Yok,city_Adıyaman,city_Afyonkarahisar,city_Aksaray,city_Amasya,city_Ankara,city_Antalya,city_Ardahan,city_Artvin,city_Aydın,city_Ağrı,city_Balıkesir,city_Bartın,city_Batman,city_Bayburt,city_Bilecik,city_Bingöl,city_Bitlis,city_Bolu,city_Burdur,city_Bursa,city_Denizli,city_Diyarbakır,city_Düzce,city_Edirne,city_Elazığ,city_Erzincan,city_Erzurum,city_Eskişehir,city_Gaziantep,city_Giresun,city_Gümüşhane,city_Hakkari,city_Hatay,city_Isparta,city_Iğdır,city_KKTC,city_Kahramanmaraş,city_Karabük,city_Karaman,city_Kars,city_Kastamonu,city_Kayseri,city_Kilis,city_Kocaeli,city_Konya,city_Kütahya,city_Kırklareli,city_Kırıkkale,city_Kırşehir,city_Malatya,city_Manisa,city_Mardin,city_Mersin,city_Muğla,city_Muş,city_Nevşehir,city_Niğde,city_Ordu,city_Osmaniye,city_Rize,city_Sakarya,city_Samsun,city_Siirt,city_Sinop,city_Sivas,city_Tekirdağ,city_Tokat,city_Trabzon,city_Tunceli,city_Uşak,city_Van,city_Yalova,city_Yozgat,city_Zonguldak,city_Çanakkale,city_Çankırı,city_Çorum,city_İstanbul,city_İzmir,city_Şanlıurfa,city_Şırnak,floor_ratio,rooms_total,size_per_room
1,103,240.0,500000.0,13.122365377402328,4.0,4.0,2.0,4.0,1.0,2018,11,4,Muratpaşa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,5.0,48.0
1,62,110.0,225000.0,12.323860125621126,1.0,5.0,3.0,3.0,1.0,2018,9,4,Keçiören,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,4.0,27.5
1,30,115.0,275000.0,12.524530013005734,3.0,3.0,2.0,3.0,1.0,2019,1,4,Didim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,4.0,28.75
1,149,110.0,11123.0,9.316860215353856,23.0,4.0,5.0,6.0,1.0,2018,10,0,Bornova,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.25,7.0,15.714285714285714
1,1,110.0,105000.0,11.561725152903833,8.0,15.0,2.0,1.0,1.0,2019,2,1,Sarıçam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333333333333333,2.0,55.0
1,37,140.0,390000.0,12.873904582205107,0.0,3.0,3.0,3.0,1.0,2019,1,0,Serdivan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4.0,35.0
1,17,75.0,200000.0,12.206077645517674,1.0,4.0,2.0,2.0,1.0,2019,2,6,Başiskele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3.0,25.0
1,63,63.0,450000.0,13.017005083966255,0.0,4.0,1.0,2.0,1.0,2018,9,4,Gaziemir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,3.0,21.0
2,27,115.0,1200.0,7.0909098220799835,0.0,5.0,5.0,3.0,1.0,2019,1,3,Çekmeköy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,4.0,28.75
1,40,95.0,178000.0,12.08954444723597,0.0,4.0,2.0,2.0,1.0,2019,1,4,Atakum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3.0,31.666666666666668
